Result of replaying Petri net of Filtered log on Filtered log

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Calculation Time (ms)","Num. States","Move-Model Fitness","Trace Fitness","Pre-processing time (ms)","Move-Log Fitness","Trace Length","Exit code of alignment for trace","Approximate memory used (kb)","Number of LPs solved","Queued States",Match
1,"7|15|33",3,Yes,"2,00","8,05","208,00","0,97","0,96","0,10","0,97","34,00","1,00","22,00","2,00","223,00",[L/M]teaching activity assigned|[L/M]define program|[M-REAL]prepare slides|[L/M]prepare evaluation|[L]prepare slides|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[L/M]refactor material|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]final evaluation|[L/M]feedback received|[L/M]Course terminated|[M-INVI]tau join
2,"40|8|39",3,Yes,"2,00","8,00","168,00","0,97","0,96","0,14","0,97","29,00","1,00","19,00","2,00","179,00",[L/M]teaching activity assigned|[L/M]define program|[M-REAL]prepare slides|[L/M]prepare evaluation|[L]prepare slides|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[L/M]refactor material|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]final evaluation|[L/M]feedback received|[L/M]Course terminated|[M-INVI]tau join
3,"29|34|42",3,Yes,"2,00","6,91","89,00","0,95","0,95","0,07","0,95","19,00","1,00","13,00","2,00","92,00",[L/M]teaching activity assigned|[L/M]define program|[M-REAL]prepare slides|[L/M]prepare evaluation|[L]prepare slides|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[L/M]refactor material|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]feedback received|[L/M]final evaluation|[L/M]Course terminated|[M-INVI]tau join
4,"47|6|36",3,Yes,"2,00","7,43","88,00","0,95","0,95","0,09","0,95","19,00","1,00","13,00","2,00","91,00",[L/M]teaching activity assigned|[L/M]define program|[M-REAL]prepare slides|[L/M]prepare evaluation|[L]prepare slides|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[L/M]refactor material|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]final evaluation|[L/M]feedback received|[L/M]Course terminated|[M-INVI]tau join
5,"51|31",2,Yes,"2,00","12,88","608,00","0,99","0,98","0,26","0,99","84,00","1,00","51,00","2,00","663,00",[L/M]teaching activity assigned|[L/M]define program|[M-REAL]prepare slides|[L/M]prepare evaluation|[L]prepare slides|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[L/M]refactor material|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]final evaluation|[L/M]feedback received|[L/M]Course terminated|[M-INVI]tau join
6,"2|32",2,Yes,"2,00","10,68","448,00","0,98","0,98","0,29","0,98","63,00","1,00","42,00","2,00","486,00",[L/M]teaching activity assigned|[L/M]define program|[M-REAL]prepare slides|[L/M]prepare evaluation|[L]prepare slides|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]final evaluation|[L/M]feedback received|[L/M]Course terminated|[M-INVI]tau join
7,"37|16",2,Yes,"2,00","9,14","368,00","0,98","0,97","0,14","0,98","53,00","1,00","36,00","2,00","398,00",[L/M]teaching activity assigned|[L/M]define program|[M-REAL]prepare slides|[L/M]prepare evaluation|[L]prepare slides|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]final evaluation|[L/M]feedback received|[L/M]Course terminated|[M-INVI]tau join
8,"1|45",2,Yes,"2,00","7,21","169,00","0,97","0,96","0,14","0,97","29,00","1,00","19,00","2,00","180,00",[L/M]teaching activity assigned|[L/M]define program|[M-REAL]prepare slides|[L/M]prepare evaluation|[L]prepare slides|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[L/M]refactor material|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]feedback received|[L/M]final evaluation|[L/M]Course terminated|[M-INVI]tau join
9,"18|20",2,Yes,"2,00","6,89","169,00","0,96","0,96","0,07","0,96","28,00","1,00","18,00","2,00","179,00",[L/M]teaching activity assigned|[L/M]define program|[M-REAL]prepare slides|[L/M]prepare evaluation|[L]prepare slides|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]feedback received|[L/M]final evaluation|[L/M]Course terminated|[M-INVI]tau join
10,"24",1,Yes,"2,00","56,23","1.738,00","0,99","0,99","0,96","0,99","188,00","1,00","142,00","3,00","1.940,00",[L/M]teaching activity assigned|[L/M]define program|[M-REAL]prepare slides|[L/M]prepare evaluation|[L]prepare slides|[L/M]prepare lab lectures|[L/M]Define UDA|[L/M]Deliver UDA|[L/M]lectures start|[L/M]do pilot lecture|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[M-INVI]tau from tree|[L/M]do theoretical lectures|[L/M]do lab lectures|[L/M]submit intermediate test|[L/M]test terminated|[L/M]evaluate results|[L/M]gather feedback|[L/M]final evaluation|[L/M]feedback received|[L/M]Course terminated|[M-INVI]tau join
